item_id,mean_rating,n_reviews,category,product_name,description,price
2510,4.739726027397261,73,Camera & Photo,Remote Shutter Release (Model 469),"Remote Shutter Release. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 4.7 out of 5 from 73 verified customer reviews.",149.13
3723,3.75,28,Computers & Accessories,Portable SSD 1TB (Model 714),"Portable SSD 1TB. High-quality computer accessory compatible with Windows, Mac, and Linux. Plug-and-play setup with no drivers required. Rated 3.8 out of 5 from 28 verified customer reviews.",246.64
4007,3.5238095238095237,63,Camera & Photo,Camera Tripod Flexible (Model 293),"Camera Tripod Flexible. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 3.5 out of 5 from 63 verified customer reviews.",200.6
6029,2.25,8,Headphones,Foldable Travel Headphones (Model 237),"Foldable Travel Headphones. Premium audio device with advanced sound technology, comfortable design, and long battery life. Ideal for music, commuting, and calls. Rated 2.2 out of 5 from 8 verified customer reviews.",155.49
8193,4.341176470588235,425,Portable Audio & Video,Speaker Dock with Lightning (Model 519),"Speaker Dock with Lightning. Compact portable device with crystal-clear audio and easy connectivity. Perfect for home, travel, and outdoor use. Rated 4.3 out of 5 from 425 verified customer reviews.",100.54
8776,3.5652173913043477,23,Portable Audio & Video,Pocket Projector Mini (Model 434),"Pocket Projector Mini. Compact portable device with crystal-clear audio and easy connectivity. Perfect for home, travel, and outdoor use. Rated 3.6 out of 5 from 23 verified customer reviews.",88.9
952,4.75,16,Portable Audio & Video,FM Radio Portable Digital (Model 561),"FM Radio Portable Digital. Compact portable device with crystal-clear audio and easy connectivity. Perfect for home, travel, and outdoor use. Rated 4.8 out of 5 from 16 verified customer reviews.",87.58
4660,4.5,68,Camera & Photo,Ring Light for Photography (Model 517),"Ring Light for Photography. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 4.5 out of 5 from 68 verified customer reviews.",241.4
1328,3.8095238095238093,21,Camera & Photo,Camera Bag Backpack (Model 885),"Camera Bag Backpack. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 3.8 out of 5 from 21 verified customer reviews.",179.36
5642,3.2564102564102564,39,Headphones,Sport Bluetooth Earphones (Model 663),"Sport Bluetooth Earphones. Premium audio device with advanced sound technology, comfortable design, and long battery life. Ideal for music, commuting, and calls. Rated 3.3 out of 5 from 39 verified customer reviews.",191.92
8104,2.8,15,Headphones,Gaming Headset with Mic (Model 105),"Gaming Headset with Mic. Premium audio device with advanced sound technology, comfortable design, and long battery life. Ideal for music, commuting, and calls. Rated 2.8 out of 5 from 15 verified customer reviews.",51.01
5743,4.7,20,Accessories & Supplies,Surge Protector Power Strip (Model 629),Surge Protector Power Strip. Reliable everyday electronics accessory. Durable construction with universal compatibility for all devices. Rated 4.7 out of 5 from 20 verified customer reviews.,264.63
3080,4.8,5,Accessories & Supplies,Screen Protector Tempered Glass (Model 140),Screen Protector Tempered Glass. Reliable everyday electronics accessory. Durable construction with universal compatibility for all devices. Rated 4.8 out of 5 from 5 verified customer reviews.,239.33
4994,3.1345238095238095,840,Headphones,Kids Volume-Limited Headphones (Model 839),"Kids Volume-Limited Headphones. Premium audio device with advanced sound technology, comfortable design, and long battery life. Ideal for music, commuting, and calls. Rated 3.1 out of 5 from 840 verified customer reviews.",93.42
2455,4.888888888888889,9,Camera & Photo,Camera Bag Backpack (Model 995),"Camera Bag Backpack. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 4.9 out of 5 from 9 verified customer reviews.",113.79
7948,3.0625,16,Camera & Photo,Mirrorless Camera Body (Model 900),"Mirrorless Camera Body. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 3.1 out of 5 from 16 verified customer reviews.",86.7
3706,3.9504950495049505,101,Computers & Accessories,HDMI to DisplayPort Cable (Model 516),"HDMI to DisplayPort Cable. High-quality computer accessory compatible with Windows, Mac, and Linux. Plug-and-play setup with no drivers required. Rated 4.0 out of 5 from 101 verified customer reviews.",123.58
2586,4.386705202312139,1730,Camera & Photo,Camera Memory Card 128GB (Model 094),"Camera Memory Card 128GB. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 4.4 out of 5 from 1730 verified customer reviews.",173.13
6391,4.727891156462585,147,Camera & Photo,Ring Light for Photography (Model 177),"Ring Light for Photography. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 4.7 out of 5 from 147 verified customer reviews.",160.15
7861,5.0,7,Camera & Photo,Camera Tripod Flexible (Model 373),"Camera Tripod Flexible. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 5.0 out of 5 from 7 verified customer reviews.",136.79
8186,3.4864864864864864,37,Television & Video,Soundbar with Subwoofer (Model 589),Soundbar with Subwoofer. Home entertainment device delivering high-definition video and audio. Simple setup with universal compatibility. Rated 3.5 out of 5 from 37 verified customer reviews.,176.61
9549,4.666666666666667,6,Accessories & Supplies,AA Rechargeable Batteries 8-Pack (Model 288),AA Rechargeable Batteries 8-Pack. Reliable everyday electronics accessory. Durable construction with universal compatibility for all devices. Rated 4.7 out of 5 from 6 verified customer reviews.,102.2
5861,4.884615384615385,26,Computers & Accessories,USB 3.0 External Hard Drive (Model 875),"USB 3.0 External Hard Drive. High-quality computer accessory compatible with Windows, Mac, and Linux. Plug-and-play setup with no drivers required. Rated 4.9 out of 5 from 26 verified customer reviews.",135.24
965,4.166666666666667,6,Home Audio,Turntable Belt-Drive (Model 435),"Turntable Belt-Drive. High-fidelity home audio equipment for an immersive listening experience. Premium build with rich, balanced sound. Rated 4.2 out of 5 from 6 verified customer reviews.",138.94
4041,4.451776649746193,197,Headphones,Foldable Travel Headphones (Model 477),"Foldable Travel Headphones. Premium audio device with advanced sound technology, comfortable design, and long battery life. Ideal for music, commuting, and calls. Rated 4.5 out of 5 from 197 verified customer reviews.",160.71
3573,3.2222222222222223,9,Computers & Accessories,Portable SSD 1TB (Model 084),"Portable SSD 1TB. High-quality computer accessory compatible with Windows, Mac, and Linux. Plug-and-play setup with no drivers required. Rated 3.2 out of 5 from 9 verified customer reviews.",206.44
8987,4.705882352941177,17,Camera & Photo,Lens Cleaning Kit (Model 946),"Lens Cleaning Kit. Professional-grade imaging device for photography and video. Compact, lightweight, with intuitive controls for all skill levels. Rated 4.7 out of 5 from 17 verified customer reviews.",114.52
